No.,Citation key,Model / short name,Title,Authors,Year,Venue,Publication status,Primary family,Safety / reliability emphasis,Patient features,Medication history,Clinical notes,External knowledge,DOI / URL,Formal synthesis,Review note
15,li2023stratmed,StratMed,StratMed: Relevance Stratification for Low-resource Medication Recommendation.,"Li, Xiang",2023,CoRR,Preprint / emerging evidence,Low-resource/robust,Low-resource relevance stratification,Yes,Yes,No/NR,No/NR,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
16,mi2024acdnet,ACDNet,ACDNet: Attention-guided Collaborative Decision Network for effective medication recommendation,"Mi, Jiacong; Zu, Yi; Wang, Zhuoyuan; He, Jieyue",2024,Journal of Biomedical Informatics,Peer-reviewed journal article,Attention/collaborative,Collaborative decision network,Yes,Yes,No/NR,Yes,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
17,yu2024aka,AKA-SafeMed,AKA-SafeMed: A safe medication recommendation based on attention mechanism and knowledge augmentation,"Yu, Xiaomei; Li, Xue; Zhao, Fangcao; Yan, Xiaoyan; Zheng, Xiangwei; Li, Tao",2024,Information Sciences,Peer-reviewed journal article,Attention + knowledge/safety,Attention; knowledge augmentation; safety,Yes,Yes,No/NR,Yes,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
18,li2024causalmed,CausalMed,CausalMed: Causality‐Based Personalized Medication Recommendation Centered on Patient Health State,"Li, Xiang; Liang, Shunpan; Lei, Yu; Li, Chen; Hou, Yulei; Zheng, Dashun; Ma, Tengfei",2024,Proceedings of the 33rd ACM International Conference on Information and Knowledge Management (CIKM),Peer-reviewed conference paper,Causal/personalized,Causal personalization,Yes,No/NR,No/NR,No/NR,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
19,zou2024dai,DAI-Net,Dai-net: Dual adaptive interaction network for coordinated medication recommendation,"Zou, Xin; He, Xiao; Zheng, Xiao; Zhang, Wei; Chen, Jiajia; Tang, Chang",2024,IEEE Journal of Biomedical and Health Informatics,Peer-reviewed journal article,Interaction network,Dual adaptive interactions,Yes,Yes,No/NR,Yes,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
20,HKRec,HKRec,Hyper-relational knowledge enhanced network for hypertension medication recommendation,"Zhang, Ke; Zhang, Zhichang; Wang, Wei; Liang, Yali; Wang, Xia",2024,IEEE Transactions on Computational Social Systems,Peer-reviewed journal article,Hyper-relational knowledge,Hypertension-specific hyper-relational knowledge,Not coded in Table 3,Not coded in Table 3,Not coded in Table 3,Not coded in Table 3,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
21,leader,LEADER,Large language model distilling medication recommendation model,"Liu, Qidong; Wu, Xian; Zhao, Xiangyu; Zhu, Yuanshao; Zhang, Zijian; Tian, Feng; Zheng, Yefeng",2024,arXiv preprint arXiv:2402.02803,Preprint / emerging evidence,LLM distillation,LLM-to-compact-model distillation,Yes,Yes,No/NR,No/NR,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
22,azam2024pharmallm,PharmaLLM,PharmaLLM: A medicine prescriber chatbot exploiting Open-Source large language models,"Azam, Ayesha; Naz, Zubaira; Khan, Muhammad Usman Ghani",2024,Human-Centric Intelligent Systems,Peer-reviewed journal article,LLM/chatbot,Narrative interaction and medication advice,No/NR,No/NR,Yes,No/NR,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
23,wu2024promise,PROMISE,PROMISE: A Pre-trained Knowledge-Infused Multimodal Representation Learning Framework for Medication Recommendation,"Wu, Jialun; Yu, Xin-Yao; He, Kai; Gao, Zeyu; Gong, Tieliang",2024,Information Processing & Management,Peer-reviewed journal article,Pretraining + multimodal/knowledge,Knowledge-infused pretraining,Yes,Yes,No/NR,Yes,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
24,zhao2024raremed,RAREMed,RAREMed: Robust and Accurate Recommendations for Medication,"Zhao, Zihao; Jing, Yi; Feng, Fuli; Wu, Jiancan; Gao, Chongming; He, Xiangnan",2024,Proceedings of the 47th International ACM SIGIR Conference on Research and Development in Information Retrieval (SIGIR),Peer-reviewed conference paper,Rare-case/robust,Rare disease/medication robustness,Yes,No/NR,No/NR,No/NR,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
25,li2024transgahn,Trans-GAHNet,Transformer‐based medication recommendation with a multiple graph augmentation strategy,"Li, Xue; Yu, Xiaomei; Liu, Guanlin; Fan, Xingxu; Ge, Fengru; Zhao, Yanjie; Zheng, Xiangwei",2024,Expert Systems with Applications,Peer-reviewed journal article,Transformer + graph,Temporal gaps; multi-graph augmentation,Yes,Yes,No/NR,No/NR,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
26,kim2024vita,VITA,Vita:‘carefully chosen and weighted less’ is better in medication recommendation,"Kim, Taeri; Heo, Jiho; Kim, Hongil; Shin, Kijung; Kim, Sang-Wook",2024,Proceedings of the AAAI Conference on Artificial Intelligence,Peer-reviewed conference paper,Attention/temporal,Visit selection/weighting,Yes,Yes,No/NR,No/NR,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
27,wu2025armr,ARMR,ARMR: Adaptively Responsive Network for Medication Recommendation,"Wu, Feiyue; Wu, Tianxing; Jing, Shenqi",2025,"Proceedings of the Thirty-Fourth International Joint Conference on Artificial Intelligence, IJCAI-25",Peer-reviewed conference paper,Attention/temporal,Adaptive response to short/long-term history,Yes,Yes,No/NR,No/NR,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
28,BiMoRec,BiMoRec,Medication recommendation via dual molecular modalities and multi-step enhancement,"Mu, Shi; Li, Chen; Li, Xiang; Liang, Shunpan",2025,Expert Systems with Applications,Peer-reviewed journal article,Dual molecular modalities,Dual molecular modalities,Not coded in Table 3,Not coded in Table 3,Not coded in Table 3,Not coded in Table 3,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
29,CIDGMed,CIDGMed,CIDGMed: causal inference-driven medication recommendation with enhanced dual-granularity learning,"Liang, Shunpan; Li, Xiang; Mu, Shi; Li, Chen; Lei, Yu; Hou, Yulei; Ma, Tengfei",2025,Knowledge-Based Systems,Peer-reviewed journal article,Causal/debiased + graph,Causal inference; dual-granularity learning,Yes,Yes,No/NR,No/NR,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
30,chen2025advancing,ConfidenceCalib,Advancing Confidence Calibration and Quantification in Medication Recommendation,"Chen, Qianyu; Li, Xin; Fang, Yujie; Wang, Mingzhong",2025,Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V. 1,Peer-reviewed conference paper,Calibration/uncertainty,Confidence calibration and quantification,Yes,Yes,No/NR,No/NR,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
31,liu2025dnmdr,DNMDR,DNMDR: Dynamic Networks and Multi-view Drug Representations for Safe Medication Recommendation,"Liu, Guanlin; Yu, Xiaomei; Liu, Zihao; Liu, Shucheng; Li, Xue; Fan, Xingxu; Zheng, Xiangwei",2025,Knowledge-Based Systems,Peer-reviewed journal article,Dynamic graph + multi-view,Dynamic EHR graphs; multi-view drug representations,Yes,Yes,No/NR,Yes,https://doi.org/10.1016/j.knosys.2025.114327,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
32,liu2025edrmm,EDRMM,EDRMM: Enhancing Drug Recommendation via Multi-Granularity and Multi-Attribute Representation,"Liu, Feiyan; Wang, Wenhao; Zheng, Jiawei; Xie, Yibo; Wang, Xiaoli; Zhang, Dongxiang",2025,BMC Bioinformatics,Peer-reviewed journal article,Multi-granularity representation,Multi-granularity/multi-attribute drug representation,Yes,Yes,No/NR,Yes,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
33,EGNet,EGNet,EGNet: explainable graph neural network with similarity explanation for medication recommendation,"Nguyen, Minh-Van; Nguyen, Duy-Thinh; Le, Bac",2025,Applied Intelligence,Peer-reviewed journal article,Explainable graph,Graph explanation and similarity explanation,Yes,Yes,No/NR,Yes,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
34,wang2025excerf,EXCERF,Beyond EHRs: External Clinical Knowledge and Cohort Features for Medication Recommendation,"Wang, Yanda; Chen, Weitong; Yue, Lin; Nabney, Ian; Pi, Dechang",2025,Knowledge-Based Systems,Peer-reviewed journal article,Cohort memory + external knowledge,External clinical knowledge; cohort features,Yes,Yes,No/NR,Yes,https://doi.org/10.1016/j.knosys.2025.113763,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
35,fan2025flame,FLAME,Fine-grained List-wise Alignment for Generative Medication Recommendation,"Fan, Chenxiao; Gao, Chongming; Shi, Wentao; Gong, Yaxin; Zhao, Zihao; Feng, Fuli",2025,Advances in Neural Information Processing Systems,Peer-reviewed conference paper,Generative LLM/list-wise alignment,List-wise generative alignment; overprescription control,Yes,No/NR,No/NR,Yes,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
36,he2025gpsrec,GPSRec,Improving the Safety of Medication Recommendation via Graph Augmented Patient Similarity Network,"He, Ming; Zheng, Yongjie; Li, Changle; Zhou, Man",2025,Proceedings of the 34th ACM International Conference on Information and Knowledge Management (CIKM '25),Peer-reviewed conference paper,Graph/patient similarity + safety,Patient similarity; safety filtering,Yes,Yes,No/NR,No/NR,https://doi.org/10.1145/3746252.3761071,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
37,HI-DR,HI-DR,HI-DR: Exploiting Health Status-Aware Attention and an EHR Graph+ for Effective Medication Recommendation,"Kim, Taeri; Heo, Jiho; Kim, Hyunjoon; Kim, Sang-Wook",2025,Proceedings of the AAAI Conference on Artificial Intelligence,Peer-reviewed conference paper,Attention + EHR graph,Health-status-aware attention; EHR graph,Not coded in Table 3,Not coded in Table 3,Not coded in Table 3,Not coded in Table 3,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
38,liu2025incomplete,IMDR,Incomplete Multi-View Drug Recommendation via Multi-Level Representation Learning and Curriculum Learning,"Liu, Ning; Tang, Yunsen; Yuan, Haitao; Lv, Hongtao; Jiang, Lili; Li, Zhen; Zhang, Wei; Wang, Jianyong",2025,Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V. 2,Peer-reviewed conference paper,Incomplete multi-view + curriculum,Incomplete-view robustness,Not coded in Table 3,Not coded in Table 3,Not coded in Table 3,Not coded in Table 3,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
39,zhang2025kedrec,KEDRec-LM,Kedrec-lm: A knowledge-distilled explainable drug recommendation large language model,"Zhang, Kai; Zhu, Rui; Ma, Shutian; Xiong, Jingwei; Kim, Yejin; Murai, Fabricio; Liu, Xiaozhong",2025,arXiv preprint arXiv:2502.20350,Preprint / emerging evidence,LLM/knowledge distillation,Knowledge-distilled explanations,No/NR,No/NR,No/NR,Yes,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
40,xu2025kellm,KELLM,KELLM: Knowledge-Enhanced Label-Wise Large Language Model for Safe and Interpretable Drug Recommendation.,"Xu, Tianhan; Li, Bin",2025,Electronics (2079-9292),Peer-reviewed journal article,LLM/knowledge,Safe/interpretable label-wise LLM,Not coded in Table 3,Not coded in Table 3,Not coded in Table 3,Not coded in Table 3,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
41,Zhao2025FinegrainedAO,LAMO,Fine-grained Alignment of Large Language Models for General Medication Recommendation without Overprescription,Zihao Zhao; Chenxiao Fan; Junlong Liu; Zheng Wang; Xiangnan He; Chongming Gao; Juan Li; Fuli Feng,2025,arXiv preprint arXiv:2503.03687,Preprint / emerging evidence,LLM alignment/overprescription control,Fine-grained LLM alignment; overprescription reduction,Not coded in Table 3,Not coded in Table 3,Not coded in Table 3,Not coded in Table 3,https://arxiv.org/abs/2503.03687,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
42,lv2025medalign,MedAlign,MedAlign: Enhancing Combinatorial Medication Recommendation with Multi-modality Alignment,"Lv, Hang; Guo, Zixuan; Wu, Zijie; Tan, Yanchao; Ma, Guofang; Lin, Zhigang; Chen, Xiping; Cheng, Hong; Yang, Carl",2025,Proceedings of the 33rd ACM International Conference on Multimedia (MM '25),Peer-reviewed conference paper,Multimodal alignment,Cross-modal patient–medication alignment,Yes,Yes,No/NR,Yes,https://doi.org/10.1145/3746027.3755265,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
43,zhou2025multi,MKAF-Net,Multi-source medical knowledge adaptive fusion network for combinatorial medication recommendation: Y. Zhou et al.,"Zhou, Yiming; Wei, Jiedong; Hou, Xiaodi; Duan, Meiyu; Zhang, Yijia",2025,Applied Intelligence,Peer-reviewed journal article,Multimodal/knowledge fusion,Multi-source knowledge fusion,Yes,Yes,No/NR,Yes,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
44,li2025mrdtr,MR-DTR,Time-aware Medication Recommendation via Intervention of Dynamic Treatment Regimes,"Li, Yishuo; Zhang, Qi; Lu, Wenpeng; Peng, Xueping; Zhang, Weiyu; Si, Jiasheng; Gong, Yongshun; Hu, Liang",2025,Proceedings of the ACM on Web Conference 2025,Peer-reviewed conference paper,Temporal + dynamic treatment regime,Treatment timing; dynamic regimes,Yes,Yes,No/NR,No/NR,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
45,RAG-CPMF,RAG-CPMF,"Intelligent Chinese patent medicine (CPM) recommendation framework: Integrating large language models, retrieval-augmented generation, and the largest CPM dataset","Qin, Suyang; Wang, Yifan; Cui, Tangming; Ma, Jinge; Zhou, Xin; Guo, Xinglin; Zhang, Chuchu; Zhou, Chongyun; Rongjuan, Guo; Li, Haiyan",2025,Pharmacological Research,Peer-reviewed journal article,RAG/LLM + domain knowledge,Evidence retrieval for Chinese patent medicine,Yes,No/NR,No/NR,Yes,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
46,Yang2025PatientDS,SDRBT,Patient deep spatio-temporal encoding and medication substructure mapping for safe medication recommendation,Haoqin Yang; Yuandong Liu; Longbo Zhang; Hongzhen Cai; Kai Che; Linlin Xing,2025,Journal of biomedical informatics,Peer-reviewed journal article,Spatio-temporal + medication substructure/safety,Medication substructure mapping; safety,Not coded in Table 3,Not coded in Table 3,Not coded in Table 3,Not coded in Table 3,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
47,zhang2025sspnet,SSPNet,SSPNet: Leveraging Robust Medication Recommendation with History and Knowledge,"Zhang, Haodi; Wen, Jiawei; Li, Jiahong; Song, Yuanfeng; Zhang, Liang-Jie; Ma, Lin",2025,"Proceedings of the Thirty-Fourth International Joint Conference on Artificial Intelligence, IJCAI-25",Peer-reviewed conference paper,Robust/history + knowledge,Robust history and knowledge modeling,Yes,Yes,No/NR,Yes,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
48,takecare,TAKECare,TAKECare: A temporal-hierarchical framework with knowledge fusion for personalized clinical predictive modeling,"Wu, Jialun; Mei, Xin; Mao, Rui; He, Kai; Cambria, Erik",2025,Information Fusion,Peer-reviewed journal article,Temporal-hierarchical + knowledge,Temporal hierarchy; knowledge fusion,Yes,Yes,No/NR,Yes,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
49,TCM-KLLaMA,TCM-KLLaMA,TCM-KLLaMA: Intelligent generation model for Traditional Chinese Medicine Prescriptions based on knowledge graph and large language model,"Zhuang, Yi; Yu, Lingkai; Jiang, Nan; Ge, Yujia",2025,Computers in Biology and Medicine,Peer-reviewed journal article,LLM + knowledge graph,Knowledge-graph-grounded prescription generation,Yes,No/NR,No/NR,Yes,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
50,liu2025contrastive,TEMPT,A Contrastive Pretrain Model with Prompt Tuning for Multi-center Medication Recommendation,"Liu, Qidong; Qiu, Zhaopeng; Zhao, Xiangyu; Wu, Xian; Zhang, Zijian; Xu, Tong; Tian, Feng",2025,ACM Transactions on Information Systems,Peer-reviewed journal article,Contrastive pretraining/prompt tuning,Multi-center contrastive pretraining; prompt tuning,Yes,Yes,No/NR,No/NR,,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
51,liu2025treatrag,TreatRAG,TreatRAG: A Framework for Personalized Treatment Recommendation,"Liu, Chao-Chin; Yao, Hao-Ren; Chang, Der-Chen; Frieder, Ophir",2025,Proceedings of the 19th ACM Conference on Recommender Systems (RecSys '25),Peer-reviewed conference paper,RAG/similar-case retrieval,Similar-case retrieval; explanation,Yes,Yes,No/NR,No/NR,https://doi.org/10.1145/3705328.3748022,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
52,zhang2026bh3medrec,BH3-MedRec,BH3-MedRec: Bilateral Hierarchical Heterogeneous Hypergraph Convolution Network for Medication Recommendation,"Zhang, Zihan; Liu, Hongzhi; Sun, Tianqi; Guo, Xiaoshuang; Wu, Zhonghai",2026,ACM Transactions on Intelligent Systems and Technology,Peer-reviewed journal article,Graph/hypergraph,Hierarchical heterogeneous hypergraph,Yes,Yes,No/NR,Yes,https://doi.org/10.1145/3779446,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
53,qiao2026katmed,KATMed,KATMed: A Knowledge-Augmented Transformer Model for Contraindication-Aware Medication Recommendation in Comorbidities,"Qiao, Ziqian; Lin, Shaofu; Fan, Jiatong; Chen, Jianhui; Tang, Zhiyi; Zhang, Zitong",2026,Journal of Biomedical Informatics,Peer-reviewed journal article,Transformer + contraindication knowledge,Contraindication-aware comorbidity modeling,Yes,Yes,No/NR,Yes,https://doi.org/10.1016/j.jbi.2026.104991,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
54,zhang2026kehgcn,KEHGCN,Knowledge-Enhanced Explainable Hypergraph Convolution Network for Medication Recommendation,"Zhang, Zihan; Liu, Hongzhi; Guo, Xiaoshuang; Sun, Tianqi; Wu, Zhonghai",2026,Proceedings of the AAAI Conference on Artificial Intelligence,Peer-reviewed journal article,Graph/hypergraph,Explainable hypergraph reasoning,Yes,Yes,No/NR,Yes,https://doi.org/10.1609/aaai.v40i19.38681,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
55,jin2026kram,KRAM,KRAM: Knowledge-driven Robust Training Against Label Noise for Medication Recommendation,"Jin, Yuan; Zhang, Zhen",2026,Expert Systems with Applications,Peer-reviewed journal article,Robust learning/label noise,Knowledge-driven robustness to label noise,Yes,Yes,No/NR,Yes,https://doi.org/10.1016/j.eswa.2026.131330,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
56,huh2026pacerag,PACE-RAG,PACE-RAG: Patient-Aware Contextual and Evidence-Constrained RAG for Clinical Drug Recommendation,"Huh, Chaeyoung; Hwang, Hyunmin; Shin, Jung Hwan; Jo, Sungyang; Park, Jinse; Ye, Jong Chul",2026,arXiv preprint arXiv:2603.17356,Preprint / emerging evidence,RAG/LLM,Evidence-constrained RAG; patient-aware retrieval,Yes,Yes,Yes,No/NR,https://arxiv.org/abs/2603.17356,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
57,ma2026paup,PAUP,Robust Drug Recommendation Based on Patient Status Awareness and Unbiased Prediction,"Ma, Gang-Feng; Wen, Xilin; Yang, Xu-Hua; Zhou, Yanbo; Huang, Wei; Li, Xiao-Xin; Jiang, Peng",2026,Information Processing & Management,Peer-reviewed journal article,Patient-state-aware/debiased,Patient-status awareness; unbiased prediction,Yes,Yes,No/NR,No/NR,https://doi.org/10.1016/j.ipm.2026.104698,Yes,Included in the 57-study formal synthesis reconstructed from the revised manuscript; confirm against the authors’ original screening log before final public release.
